,,1.9,2.275
,,1.9,2.275
,,1.8875,2.2625
,,1.8875,2.25
,,1.875,2.225
,,1.8625,2.2125
,,1.8625,2.1875
,,1.85,2.1625
,,1.8375,2.1375
,,1.825,2.1125
,,1.8125,2.0875
,,1.7875,2.0625
,,1.775,2.025
,,1.7625,2
,,1.7375,1.9625
,,1.7125,1.925
,,1.6875,1.9
,,1.6625,1.8625
,,1.6375,1.825
,,1.6,1.775
,,1.575,1.75
,,1.5375,1.7
,,1.5125,1.6625
,,1.4625,1.625
,,1.425,1.5875
,,1.3875,1.55
,,1.3375,1.5125
,,1.3,1.4625
,,1.25,1.425
,,1.2,1.3875
,,1.15,1.35
,,1.0875,1.325
,,1.025,1.2875
,,0.975,1.25
,,0.9125,1.225
,,0.85,1.1875
,,0.7875,1.1625
,,0.725,1.1375
,,0.65,1.1125
,,0.575,1.0875
,,0.5125,1.0625
,,0.4375,1.05
,,0.3625,1.0375
,,0.3,1.025
,,0.225,1.0125
,,0.15,1
,,0.075,1
,,-0.0125,1
,,-0.1625,1.015
,,-0.175,1.025
,,-0.225,1.025
,,-0.3,1.025
,,-0.3875,1.0375
,,-0.45,1.05
,,-0.525,1.0625
,,-0.5875,1.0875
,,-0.65,1.1125
,,-0.725,1.125
,,-0.7875,1.15
,,-0.85,1.175
,,-0.9125,1.2125
,,-0.975,1.25
,,-1.0375,1.275
,,-1.0875,1.3125
,,-1.1375,1.35
,,-1.1875,1.3875
,,-1.2375,1.4125
,,-1.2875,1.45
,,-1.325,1.4875
,,-1.375,1.525
,,-1.4125,1.5625
,,-1.45,1.6
,,-1.4875,1.6375
,,-1.525,1.6625
,,-1.55,1.7
,,-1.5875,1.7375
,,-1.6125,1.775
,,-1.6375,1.8125
,,-1.6625,1.8375
,,-1.6875,1.875
,,-1.7125,1.9125
,,-1.725,1.9375
,,-1.75,1.95
,,-1.7625,1.9875
,,-1.775,2.0125
,,-1.7875,2.0375
,,-1.8,2.0625
,,-1.8125,2.0875
,,-1.825,2.1
,,-1.8375,2.125
,,-1.85,2.125
,,-1.85,2.15
,,-1.8625,2.1625
,,-1.8625,2.175
,,-1.8625,2.175
,,-1.875,2.175
,,-1.875,2.2
,,-1.875,2.2
,,-1.875,2.2
,,-1.875,2.2
,,-1.875,2.2
,,-1.875,2.175
,,-1.8625,2.1875
,,-1.8625,2.175
,,-1.8625,2.1625
,,-1.85,2.15
,,-1.85,2.1375
,,-1.8375,2.125
,,-1.8375,2.1
,,-1.825,2.0875
,,-1.8125,2.075
,,-1.8,2.0625
,,-1.7875,2.0375
,,-1.775,2.0125
,,-1.7625,1.975
,,-1.7375,1.95
,,-1.725,1.925
,,-1.7,1.9
,,-1.675,1.8625
,,-1.6625,1.825
,,-1.6375,1.7875
,,-1.6125,1.7625
,,-1.575,1.7375
,,-1.55,1.7
,,-1.5125,1.6625
,,-1.4875,1.6125
,,-1.45,1.5875
,,-1.4125,1.5625
,,-1.375,1.525
,,-1.325,1.4875
,,-1.2875,1.4375
,,-1.2375,1.4125
,,-1.1875,1.3875
,,-1.1375,1.35
,,-1.0875,1.3125
,,-1.025,1.275
,,-0.9875,1.25
,,-0.925,1.225
,,-0.8625,1.1875
,,-0.8,1.1625
,,-0.7375,1.1375
,,-0.675,1.1125
,,-0.6125,1.1
,,-0.5375,1.075
,,-0.475,1.05
,,-0.4125,1.0375
,,-0.3375,1.025
,,-0.2625,1.0125
,,-0.2,1.0125
,,-0.1625,1.0125
,,-0.05,1
,,0.0125,1
,,0.1,1
,,0.1625,1.0125
,,0.225,1.0125
,,0.3,1.025
,,0.375,1.0375
,,0.4375,1.05
,,0.5,1.0625
,,0.575,1.0875
,,0.6375,1.1125
,,0.7,1.125
,,0.7625,1.15
,,0.825,1.175
,,0.875,1.2
,,0.9375,1.2375
,,0.9875,1.2625
,,1.0375,1.2875
,,1.1,1.325
,,1.1375,1.35
,,1.175,1.3875
,,1.2375,1.4125
,,1.2625,1.45
,,1.3125,1.4875
,,1.35,1.5125
,,1.3875,1.55
,,1.425,1.575
,,1.45,1.625
,,1.4875,1.65
,,1.5125,1.6875
,,1.5375,1.7125
,,1.575,1.75
,,1.5875,1.775
,,1.6125,1.8
,,1.625,1.8375
,,1.65,1.8625
,,1.675,1.8875
,,1.6875,1.9125
,,1.7,1.9375
,,1.7125,1.95
,,1.725,1.975
,,1.7375,1.9875
,,1.7625,2.0125
,,1.7625,2.025
,,1.775,2.0375
,,1.7875,2.05
,,1.7875,2.0625
,,1.7875,2.0625
,,1.8,2.075
,,1.7875,2.075
